d,phi,u
-0.05996912526246012,-0.09744095767810773,-0.3655270992900279
-0.06041503816000671,-0.09428303587949509,-0.3541966192724306
-0.060849845684330384,-0.09265191870740515,-0.3503891086552178
-0.06128032693422558,-0.09241768483456442,-0.35352275178996595
-0.06171265834021822,-0.09344962607740577,-0.3630057720640991
-0.062147778806677656,-0.09362024341822722,-0.3682100634328007
-0.06258201144580267,-0.09306681402489919,-0.36978524285741066
-0.06301223899006814,-0.09189341620883149,-0.3682205292197269
-0.06343576222792435,-0.09017650791517128,-0.36387122012998807
-0.063850182858872,-0.08796978113670978,-0.356981792547157
-0.06425335359686246,-0.08532824067756266,-0.347805797631326
-0.06464338086402932,-0.08230674289126075,-0.3045516630537748
-0.06501862200537845,-0.07895904683673423,-0.29156559419463357
-0.06537767909246583,-0.07533725710657448,-0.27704721641470864
-0.06571939087754675,-0.07149156036613982,-0.26123585056334453
-0.06604282359337943,-0.067469979054162,-0.24436227116178222
-0.06634740817697482,-0.06338160622273718,-0.22696625284061211
-0.0666329095304371,-0.05926105940064291,-0.2092185322647635
-0.06689925002904751,-0.055141374367841986,-0.191283512086863
-0.06714650171667591,-0.05105374220785509,-0.1733178681632126
-0.0673748773638807,-0.0470272983412533,-0.1554694053022515
-0.0675847191501705,-0.04308832787788869,-0.1378729708483264
-0.06777648555885307,-0.03926030760529303,0.870672770356874
-0.06795073845032917,-0.03556395491977184,0.8874120048697189
-0.06810813035574359,-0.03201728553212884,0.9035714327537898
-0.06824939204003022,-0.02863568104372427,0.9190668383529463
-0.06837532040164596,-0.025431973167696808,0.9338260941169263
-0.0684913375259728,-0.024379330033410185,0.937929138545091
-0.06860687055527792,-0.025224086147070116,0.9325500276837401
-0.06873024146133921,-0.027745250082524646,0.9187104989458545
-0.06886880753903357,-0.03174998119462575,0.8973011826084054
-0.06902908243630634,-0.03706969337158185,0.8690998727508972
-0.06921679478634413,-0.043537179698910376,0.8348853176138767
